bar_code,title,price,cost_price,count
1554177,"Напиток винный "" Клюква на коньяе""",200.0,0.0,2.3
1554178,"Напиток винный ""Крымская Аэлита Мускат""",130.0,0.0,2.0
1554179,"Напиток винный ""Рябина со вкусом коньяка""",200.0,0.0,0.5
1554180,"Напиток винный ""Старый боцман 72""",150.0,0.0,2.5
1554165,"Водка ""Русская валюта"" платинум 0,25",560.0,0.0,0.25
1554182,"Настойка гор. ""Солнечная деревенька перцовая"" ",660.0,0.0,2.5
1869319,"Пиво""Дуб и обруч"" бочковое ПЭТ",110.083563536,87.0,7.5
1155976,"Водка""Граф Ледофф""лайт 0,5",681.408450704,0.0,0.15
2590857,"Вино фруктовое ""Портвейн 777"" 1,5",165.176831469,134.0,1.0
1554186,"Пиво ""Пенза""",57.0433436533,0.0,35.0
1554187,"Пиво венское ""Хамовники""",70.0,0.0,7.0
1554188,"Пиво крепкое ""Белый Медведь""",60.0,0.0,15.0
1699495,"Пиво""Очаково"" жигулевское",52.0,0.0,8.0
1554191,"Пиво светлое ""Жигули барное""",63.8636363636,0.0,11.0
1554192,"Пиво светлое ""Самко""",62.1739130435,0.0,10.0
1554193,"Пиво светлое""Белый Медведь""",57.9886148008,0.0,26.0
1554194,"Пиво темное""Жигули барное бархатное""",65.0,0.0,7.0
1596308,"Пиво светлое""Велкопоповицкий Козел""",83.8333333333,70.0,5.0
22422,"Водка ""Ханская"" 0.5",960.0,0.0,1.0
414,"Пиво светлое ""Халзан""",45.0,0.0,3.0
1554181,Напиток винный бел.п/сл Мускатное Славянское ,130.0,0.0,1.9
1327396,Бутерброд с колбасой,15.0,0.0,11.0
29349,"Пиво светлое""Приволжское""",45.0,0.0,2.0
1980401,"Пиво светлое""Старый Мельник""",60.4,46.0,5.0
1554183,"Настойка горькая ""Доктор Перцефф"" ",720.0,0.0,0.55
3954,"Водка ""Стольная""",600.0,0.0,0.15
1554184,"Настойка горькая ""Золотой Джокер""",740.0,0.0,2.4
48945,"Водка ""Старая Казань Люкс"" 0.25",632.533333333,496.0,1.0
1554163,"Водка ""Беленькая люкс"" 0,25",800.0,0.0,4.0
564,"Водка ""Жаворонки классическая""",565.31092437,457.0,2.25
1156149,"Водка""Граф Ледофф"" 0,5",700.0,0.0,13.7
2230,"Настойка горькая ""Старка"" ",700.0,0.0,2.85
1554185,"Настойка горькая перцовая ""Жаворонки"" 0,5",580.0,0.0,4.05
1094200,"Настойка горькая ""Жгучий перчик"" 0,25",740.0,0.0,0.25
2779449,"Водка""Праздичная""",561.919075145,446.0,1.0
13194,"Винный напиток""Портвейн 777""",150.0,0.0,0.5
1227582,"Водка ""Сормовская"" Люкс 0,5",640.0,0.0,1.5
4149,"Водка ""Беленькая золотая""",813.22,643.0,3.0
19382,"Водка ""Русская валюта"" платинум 0,5",540.0,0.0,0.0
1611974,"Минеральная вода ""Белый ключ""",20.0,0.0,5.1
286,"Водка ""Беленькая""",760.0,678.0,10.0
1650487,"Пиво светлое ""Визит""",130.49,107.0,2.0
1699534,"Пиво""Эфес Пилсенер""светлое",70.0,0.0,22.0
1743,"Настойка горькая ""Три старика"" 0,5",740.0,0.0,5.5
21968,"Водка""Пшеничная на спирте люкс""",494.195357834,382.0,6.3
1668817,"Водка""Старая Казань Люкс золотая""",661.414634146,505.0,1.9
1554164,"Водка ""Золотой Петушок"" Люкс 0,5",660.0,0.0,1.5
1241990,"Водка ""Георгиевская"" 0,5",670.0,0.0,1.5
1732183,"Вин.нап.""Кубанское красное""п/сл",150.0,0.0,0.2
47704,"Водка ""Государев Заказ"" 0,5",600.0,0.0,0.5
1199066,"Напиток""Лимонад""",52.7941176471,0.0,59.4
54415,"Напиток винный ""Лордвин 777"" ",150.0,0.0,3.0
485,"Водка ""Жаворонки мягкая""",527.666666667,412.0,0.0
1383,"Водка ""Беленькая Люкс""",752.027842227,0.0,693.0
1159804,"Пиво""Бавария ПремиумПилзнер""",65.0,0.0,11.0
1959,"Настойка горькая ""ПЕРЦОВОЧКА""",720.0,0.0,0.3
1554412,"Пиво светлое живое ""Приятель""",120.0,0.0,33.0
1239766,"Водка""Бурлак""классическая",502.073170732,399.0,0.0
1554161,"Водка ""Родная"" Саратовская 0,5",500.0,0.0,4.95
1554162,"Вино фруктовое ""Осеннее"" 0,7",150.0,0.0,0.7
371,"водка,русская,валюта 0,25",577.391304348,0.0,5.25
116,кофе,18.0,0.0,19.0
1510773,"Вино столовое белое""Домашняя Лоза""",150.0,0.0,20.6
1554166,"Водка ""Три реки чистая"" 0,5",640.0,0.0,1.0
1554169,"Коньяк рос.трех.""Три звездочки"" ",1200.0,0.0,4.1
1554170,"Водка""Граф Ледофф"" 0,25",760.0,0.0,3.0
1554171,"Коньяк рос.пят.""Пять звездочек""",1300.0,0.0,0.5
1554172,"Коньяк рос.трех.""Три звездочки"" 0,25",1300.0,0.0,1.75
1554174,"Минеральная вода ""Белый ключ"" 0,5",20.0,0.0,34.0
2663551,"Винный напиток ""Кубанское белое"" п/сл",151.27027027,122.0,0.4
