bar_code,title,price,cost_price,count
1112577,"Пиво ""Горьковское"" 0,5",136.0,113.0,6.0
1703428,Сигареты PARLIAMENT Agua Blue,130.727272727,102.0,6.0
1283078,Зажигалка Bic ,38.9333333333,30.0,50.0
31245,Жевательная резинка LOVE IS,5.0,4.0,65.0
19203,Parliament Silver Blue,155.727272727,126.0,8.0
1694230,Кальмар щупальца г/к,1500.0,1284.0,0.5
26,Тарань,611.510296618,497.0,1.102
1203740,пиво Крюгер бархатное,124.800904977,99.0,34.5
1132573,"Сигареты ""Winston XS blue""",98.5,77.0,5.0
1548318,кальмар рванный,1565.6570997,1324.0,0.878
1106464,ЧИПСЫ мясные из свинины ,197.25,160.0,1.0
1279016,Сигареты Ротманс клик,90.4615384615,74.0,5.0
43,Судак,545.791005291,414.0,1.256
1582,Пиво Чешское живое,116.8,94.0,10.14
1461811,винстон XS,112.75,90.0,10.0
1692212,семечки Белочка 140гр,63.0769230769,52.0,8.0
53,фисташки,1730.36380173,1366.0,0.257
25145,Икра трески,2110.64183381,1669.0,0.836
1680958,ПИВО КРЮГЕР СВЕТЛОЕ,132.364381068,107.0,25.92
1209407,Пиво Майкопское Доброе,74.5,59.0,13.0
1203776,пиво Трое в лодке,117.929411765,94.0,2.82
1288775,Игрушка Пружинка,120.0,103.0,4.0
72,Позиция по свободной цене,164.148219178,0.0,0.0
1709663,Пиво Жигулевское Бочкари,102.207792208,80.0,3.64
1866023,"Пиво ""Жигулевское"" Курган",123.254901961,97.0,39.5
2224738,Сигареты WINSTON SS White,100.428571429,80.0,0.0
1936995,"Пиво Барнаульское Светлое 0,5",75.8,62.0,7.0
1107731,Пиво Ирландский Эль,121.666666667,95.0,0.0
2721908,Квас для окрошки,69.9142857143,55.0,5.08
3702,Пакет с ручками,5.0,4.0,875.0
14969,"Пиво ""Жигулевское"" светлое фильтрованное непастеризованное э.н.с. 11%",61.2631578947,50.0,16.0
14971,"Пиво ""Ирландский Эль"" темное фильтрованное непастеризованное э.н.с. 16%",75.0,66.0,20.0
14972,"Пиво ""Немецкое"" светлое фильтрованное непастеризованное э.н.с. 11%",69.5185185185,55.0,13.0
6918269,Сигареты ВИНСТОН Super Slim (лайт) Blue 110р.,117.5,96.0,9.0
3712,Вобла вяленая,523.099209009,421.0,4.186
790,арахис,428.937459424,347.0,1.671
6860935,Сигареты с фильтром Winston Blue OC мрц 110(2),108.5,86.0,2.0
6810762,"Хрусteam гренки к пенному 105г, в ассортименте",59.6,48.0,2.0
33420,Пиво Вайс Берг пшеничное,125.027027027,101.0,0.0
1371796,Пиво Пятницкое Булгарпиво,110.682704811,91.0,17.24
1673366,"пиво""ирландский эль""0.5",75.75,65.0,3.0
1815198,"Пиво светлое ""Майкопское Жигули"" 0.5л",75.5890410959,62.0,11.0
1539239,"Лимонад 0,5 (стекло)",50.0,41.0,1.0
46252,"Чипсы ""Lay's"" 80гр.",63.4642857143,51.0,19.0
24749,Чупа чупс,10.0,8.0,141.0
13493,сухарики,713.877504554,570.0,4.942
44726,"Стакан 0,5л",5.0,4.0,99.0
2221239,Пиво Жигулевское Набережные Челны,99.699611719,82.0,1.16
1424575,"Бутылка ПЭТ 1,5",10.1869318182,8.0,267.0
2691267,Сухарики Хрус Team 60 гр.,42.76,33.0,16.0
1893577,"Пиво ""Чешский джбанек""",134.195652174,106.0,29.5
1708762,пиво Жигулевское Томск,128.16875,103.0,2.44
2903268,Поп-корн 50 гр.,98.5,81.0,8.0
1331942,Чебупели сочные с мясом 300г,125.0,88.0,0.0
1266407,"ЖЕВАТЕЛЬНАЯ РЕЗИНКА ""DIROL""",25.1940298507,20.0,83.0
13035,Сигареты Парламент Р,127.0,104.0,6.0
6536947,Сигареты Винстон слимс блу,109.066666667,88.0,2.0
1859319,пиво немецкое нефильтрованное,133.410958904,106.0,2.64
6536959,Сигареты Винстон XS слайдер,111.0,90.0,1.0
6536961,Сигареты Кент 4 нанотэк,119.45,96.0,9.0
6536963,Сигареты Кент 1 нанотэк,124.5,99.0,2.0
1839367,Поп-корн 100 гр.,91.0,77.0,1.0
2368776,Сигареты Кент HD нео,125.2,99.0,1.0
1797385,"Бутылка ПЭТ 1,0",9.9885786802,8.0,299.0
1827603,Пиво Крюгер классическое,137.525129983,111.0,0.0
278,Щука,1253.58978102,1025.0,0.514
1587995,пиво Пятницкое,119.977896341,96.0,2.24
1934622,"Пиво Майкопское Честное 0,5",77.8333333333,62.0,2.0
1692449,"Арахис ""Караван орехов"" 200гр",120.0,107.0,2.0
1336611,Пиво Пшеничное,125.75862069,101.0,58.02
6934309,Ротманс Деми клик (Rothmans demi click) (90),85.0,71.0,8.0
2296103,парламент Night,165.0,132.0,4.0
1484079,ПИВО ВАЙСБЕРГ,121.558139535,96.0,19.54
1967408,Сухарики Хрусteam Твистер 45 гр.,35.5714285714,27.0,8.0
3131188,Мясные чипсы Хрустящие Smachos 45гр,102.6,82.0,1.0
3465013,Винстон XS Сильвер МРЦ 110,108.763157895,86.0,10.0
3051328,Кальмар стружка полоски сол. суш.50 г.( фасовка),1367.58561644,1108.0,0.51
1750339,пиво чешское оригинальное,125.364729459,104.0,2.42
4125508,Сигареты Мальборо рэд,120.0,105.0,1.0
1375558,ПИВО ХАДЫЖЕНСКОЕ,127.346303502,104.0,83.0
3598664,"КАЛЬМАР ПОЛУКОЛЬЦА солено-сушеные, ""ТД ГЛОРИЯ""  ВЕС",1384.26966292,1085.0,0.722
1171275,Пиво Жигулевское светлое Бочкари,100.55952381,78.0,21.5
5827405,"В/С ""Уралец"" пломбир ГОСТ 70 г.",27.3076923077,22.0,17.0
2517327,"""Белочка"" Семечки жареные , 350 г",148.0,125.0,1.0
1467728,семечки белочка 250 гр,116.181818182,96.0,5.0
1824593,Чипсы Lays Stax 110 гр.,144.272727273,122.0,4.0
8534,сигареты парламент сильвер,144.272727273,119.0,1.0
1345879,Семечки белочка 70гр.,38.9423076923,31.0,9.0
1688445,"Арахис жареный соленый ""караван орехов"" особый 50г",35.0,30.0,0.0
