bar_code,title,price,cost_price,count
3443460,Котлеты Пикантные замор.,170.0,170.0,1.73
1782918,Колбаса полукопчёная Деревенская,270.0,270.0,5.597
1781258,Бедро цыпленка бройлера охлажденное (пакет),110.0,110.0,139.612
2425867,Котлеты Пикантные замороженные,170.0,170.0,1.868
2407790,Пельмени Ямские,150.0,150.0,9.076
1989786,Колбаса полукопченая Сервелат Бородинский- 480 гр (вакуум),240.0,240.0,4.05
1781660,Колбаса варёная Городская,175.0,175.0,0.4
4045472,Сардельки ветчино-рубленые,235.000196025,235.0,1.851
1949866,Колбаса полукопчёная (в вакууме) «ДЕЛИКАТЕСНАЯ С МЯСОМ ПТИЦЫ» вес 480 гр,260.0,260.0,9.6
2004531,Колбаса варёно-копчёная Сервелат Классический из курицы- 480 гр (вакуум),300.0,300.0,4.15
3273526,Бедро ЦБ охл.(пакет),110.0,110.0,22.31
1791418,Колбаса варёная Докторская с мясом птицы,240.0,240.0,3.336
2495554,"Манты ""Сибирские""",205.000324149,205.0,2.09
1962806,Сосиски Куриные 2-ой сорт,160.000033099,160.0,4.826
1139526,пакет фирменный,5.0,5.0,4.0
3061195,Пельмени Успенские,280.0,280.0,0.748
2001239,Колбаса полукопчёная из мяса птицы Филейная- 480 гр (вакуум),310.0,310.0,7.68
1950304,Фарш из мяса птицы Домашний замор. (подложка),109.691513711,105.0,9.157
1783534,Фарш куриный натуральный замор. (подложка),272.931995853,265.0,0.972
1491442,Яйцо столовое отборное,6.5,6.5,100.0
1791871,Бедро копчёно-варёное,190.0,190.0,1.431
1792021,Фарш куриный натуральный охл. (пакет),265.000165321,265.0,10.263
