bar_code,title,price,cost_price,count
5633,"Пиво светлое (пастеризованное) ""Балтика экспортное""№7 ж/б,Ярославль",66.0,0.0,94.0
1112073,Пиво светлое ИСКУССТВО ВАРИТЬ Чешское барное Живое 1 л. ЖБ,120.0,0.0,29.0
4111,"Пиво светлое пастеризованное ""ЗЛАТЫЙ БАЗАНТ"", алк. 4,1 % об. Стеклянная бутылка вместимостью 0,48 л_",64.0,0.0,24.0
1128977,"Пиво светлое Приятель ""Суперкрепкое"" фильтрованное пастеризованное",140.0,0.0,41.0
6681618,"Амстел Премиум,банка 0.45 л_РТ",62.0,0.0,16.0
4117,"Пивной напиток ""Доктор Дизель Секси Лайм"". Пастеризованный, алк. 4.3 % об. Стеклянная бутылка вмести",62.0,0.0,54.0
22,Сидр фруктовый ароматизированный газированный жемчужный «МАРТИ РЭЙ» («MARTY RAY») со вкусом ананаса»,86.0,0.0,6.0
5656,"Пиво светлое (пастеризованное) ""Жатецкий Гусь"" (""Zatecky Gus"") в ж/б,Тула",127.0,0.0,12.0
1225753,"Пиво ""Пенное пшеничное"". а/б",57.0,0.0,334.0
1564,"Пиво светлое (пастеризованное) ""Балтика крепкое"" №9 ж/б,Ярославль",63.0,0.0,12.0
34847,"Пивной напиток ""Златый Базант темный"". Пастеризованный, алк. 4.1 % об. Стеклянная бутылка вместимост",64.0,0.0,10.0
27683,"Пиво светлое (пастеризованное) ""Балтика Кулер"" в ПЭТ,Самара",157.0,0.0,20.0
6180,"Пиво светлое (пастеризованное) ""Балтика крепкое"" №9 в бут, Тула",63.0,0.0,10.0
22570,"Пиво светлое (пастеризованное) ""Балтика Кулер"" в бут,Ярославль",67.0,0.0,12.0
1219636,"Пиво ""Кер сари темное"". Стекло",57.0,0.0,87.0
2616,"Пиво светлое (пастеризованное) ""Карлсберг"" (""Carlsberg"") ж/б,Ярославль",56.0,0.0,60.0
2619,"Напиток ароматизированный, изготовленный на основе пива, пастеризованный ""Сет энд Райлис Гараж Хард ",72.9310344828,0.0,21.0
2620,"Пиво светлое пастеризованное ""Туборг Грин"" (""Tuborg Green"") в ж/б,Тула",138.0,0.0,26.0
2622,"Пиво светлое (пастеризованное) ""Жатецкий Гусь"" (""Zatecky Gus"") ж/б,Ярославль",68.0,0.0,30.0
2625,"Пиво светлое (пастеризованное) ""Балтика классическое"" №3 ПЭТ,Ярославль",122.0,0.0,60.0
581,"ПИВО СВЕТЛОЕ НЕПАСТЕРИЗОВАННОЕ ""ОКСКОЕ ЖИВОЕ"", алк. 4.7 % об. ПЭТФ-бутылка вместимостью 1.4 л_VG",118.0,0.0,46.0
1621063,"Пиво светлое пастеризованное «Гёссер», алк. 4,7 % об. Стеклянная бутылка вместимостью 0,45 л_VG",55.0,0.0,19.0
3144,"Пиво светлое (пастеризованное) ""Балтика Кулер"" в бут, Тула",67.0,0.0,10.0
1315409,"Пиво светлое (пастеризованное) ""Самара Светлое"" в ж/б,Самара",55.0,0.0,6.0
82,"Пиво светлое (пастеризованное) ""Янтарное"" под товарным знаком ""ЯРПИВО"" ж/б,Ярославль",56.0,0.0,24.0
28755,"Пиво светлое (пастеризованное) ""Балтика светлое"" №2 в бут,Ярославль",68.0,0.0,52.0
28756,"Пиво светлое ""Горьковское"" в бут,Ярославль",49.0,0.0,55.0
2135,"Пиво светлое пастеризованное ""Доктор Дизель светлое"", алк. 4,7% об. Стеклянная бутылка вместимостью ",62.0,0.0,20.0
9304,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""ХЕЙНЕКЕН"", алк. 4.8 % об. Стеклянная бутылка вместимостью 0.5 л_VG",76.0,0.0,20.0
2137,"Пиво темное пастеризованное ""Крушовице Черне"", алк. 4.1% об. Стеклянная бутылка вместимостью 0.5 л_V",70.0,0.0,11.0
1144925,"Пиво светлое пастеризованное ""Три Медведя"". Алк. 4,7% об. ПЭТФ-бутылка вместимостью 1,4 л_РТ",125.0,0.0,1.0
1215588,"Пиво светлое нефильтрованное пастеризованное ""Пенное пшеничное"". а/б",57.0,0.0,165.0
24165,"Пиво темное пастеризованное ""Бархатное Фирменное"" в бут, Тула",70.0,0.0,12.0
1584748,"Пиво светлое пастеризованное «Хейнекен», алк. 4,8% об. Металлическая банка вместимостью 0,45 л_VG",75.0,0.0,12.0
