,good_id,shop_id,onhand_qnt
0,9,29651,4.0
1,18,7686,1.0
2,20,11013,1.0
3,20,20271,29.0
4,20,31565,12.0
5,20,36083,18.0
6,20,46492,17.0
7,22,23293,6.0
8,25,24799,2.0
9,26,43904,10.0
10,26,108664,1.102
11,27,29651,15.0
12,30,38212,1.144
13,36,15174,25.0
14,41,23414,27.5
15,41,25347,4.0
16,42,24799,23.0
17,43,23414,1.349
18,43,108664,1.256
19,49,44447,1.41
20,50,25347,44.5
21,50,29651,23.5
22,50,34141,24.0
23,53,23414,3.7
24,53,25347,1.362
25,53,41970,1.837
26,53,44447,0.561
27,53,108664,0.257
28,54,15174,1.98
29,56,11013,10.0
30,56,18349,6.0
31,62,15174,2.128
32,62,38212,1.268
33,72,15174,0.0
34,72,17846,0.0
35,72,58164,0.0
36,72,61188,0.0
37,72,83733,0.0
38,72,83749,0.0
39,72,96320,0.0
40,72,108664,0.0
41,76,19917,18.0
42,79,44447,0.641
43,82,23293,24.0
44,82,26477,10.0
45,90,11013,4.0
46,90,61188,7.0
47,93,47082,13.0
48,112,26477,12.0
49,112,36083,1.0
50,112,85973,2.0
51,116,10171,19.0
52,118,7686,2.0
53,119,23824,8.0
54,119,38006,2.0
55,120,15174,2.168
56,120,38212,0.744
57,130,25347,1.042
58,130,38212,0.864
59,155,7686,2.0
60,155,11013,4.0
61,155,23293,5.0
62,155,23824,7.0
63,164,15174,1.0
64,168,47082,5.0
65,171,7686,9.0
66,171,18349,3.0
67,171,23824,7.0
68,171,27514,12.0
69,175,26477,9.0
70,175,36083,4.0
71,177,18349,18.0
72,177,23824,15.0
73,177,26477,12.0
74,182,7686,2.0
75,195,7686,1.0
76,204,7686,2.0
77,211,41970,0.83
78,216,74399,33.0
79,218,34763,1.0
80,230,23824,7.0
81,230,27514,14.0
82,230,34763,3.0
83,230,38006,29.0
84,238,20271,4.0
85,238,23293,10.0
86,255,7686,1.0
87,258,7686,2.0
88,258,18349,5.0
89,258,31565,5.0
90,262,23414,1.14
91,262,31565,1.0
92,264,23293,26.0
93,269,7686,2.0
94,275,18349,0.0
95,278,108664,0.514
96,286,7686,2.0
97,286,10171,10.0
98,288,7686,1.0
99,289,23293,16.0
100,295,11013,4.0
101,295,27514,38.0
102,299,7686,1.0
103,302,23293,106.0
104,302,26477,65.0
105,305,7686,1.0
106,317,7686,2.0
107,318,7686,1.0
108,320,27514,17.0
109,320,38006,8.0
110,321,18349,5.0
111,321,47082,6.0
112,325,7686,1.0
113,333,11013,1.0
114,333,20271,12.0
115,333,23824,2.0
116,333,24799,9.0
117,333,27514,23.0
118,333,34763,1.0
119,333,38006,5.0
120,333,46492,14.0
121,333,47082,1.0
122,333,67089,2.0
