bar_code,title,price,cost_price,count
5633,"Пиво светлое (пастеризованное) ""Балтика экспортное""№7 ж/б,Ярославль",66.0,0.0,12
1112073,Пиво светлое ИСКУССТВО ВАРИТЬ Чешское барное Живое 1 л. ЖБ,120.0,0.0,3
4111,"Пиво светлое пастеризованное ""ЗЛАТЫЙ БАЗАНТ"", алк. 4,1 % об. Стеклянная бутылка вместимостью 0,48 л_",64.0,0.0,2
1128977,"Пиво светлое Приятель ""Суперкрепкое"" фильтрованное пастеризованное",140.0,0.0,3
6681618,"Амстел Премиум,банка 0.45 л_РТ",62.0,0.0,1
4117,"Пивной напиток ""Доктор Дизель Секси Лайм"". Пастеризованный, алк. 4.3 % об. Стеклянная бутылка вмести",62.0,0.0,4
22,Сидр фруктовый ароматизированный газированный жемчужный «МАРТИ РЭЙ» («MARTY RAY») со вкусом ананаса»,86.0,0.0,0
5656,"Пиво светлое (пастеризованное) ""Жатецкий Гусь"" (""Zatecky Gus"") в ж/б,Тула",127.0,0.0,1
1225753,"Пиво ""Пенное пшеничное"". а/б",57.0,0.0,33
1564,"Пиво светлое (пастеризованное) ""Балтика крепкое"" №9 ж/б,Ярославль",63.0,0.0,2
34847,"Пивной напиток ""Златый Базант темный"". Пастеризованный, алк. 4.1 % об. Стеклянная бутылка вместимост",64.0,0.0,1
27683,"Пиво светлое (пастеризованное) ""Балтика Кулер"" в ПЭТ,Самара",157.0,0.0,1
6180,"Пиво светлое (пастеризованное) ""Балтика крепкое"" №9 в бут, Тула",63.0,0.0,1
22570,"Пиво светлое (пастеризованное) ""Балтика Кулер"" в бут,Ярославль",67.0,0.0,1
1219636,"Пиво ""Кер сари темное"". Стекло",57.0,0.0,20
2616,"Пиво светлое (пастеризованное) ""Карлсберг"" (""Carlsberg"") ж/б,Ярославль",56.0,0.0,7
2619,"Напиток ароматизированный, изготовленный на основе пива, пастеризованный ""Сет энд Райлис Гараж Хард ",72.9310344828,0.0,5
2620,"Пиво светлое пастеризованное ""Туборг Грин"" (""Tuborg Green"") в ж/б,Тула",138.0,0.0,4
2622,"Пиво светлое (пастеризованное) ""Жатецкий Гусь"" (""Zatecky Gus"") ж/б,Ярославль",68.0,0.0,3
2625,"Пиво светлое (пастеризованное) ""Балтика классическое"" №3 ПЭТ,Ярославль",122.0,0.0,6
581,"ПИВО СВЕТЛОЕ НЕПАСТЕРИЗОВАННОЕ ""ОКСКОЕ ЖИВОЕ"", алк. 4.7 % об. ПЭТФ-бутылка вместимостью 1.4 л_VG",118.0,0.0,6
1621063,"Пиво светлое пастеризованное «Гёссер», алк. 4,7 % об. Стеклянная бутылка вместимостью 0,45 л_VG",55.0,0.0,3
3144,"Пиво светлое (пастеризованное) ""Балтика Кулер"" в бут, Тула",67.0,0.0,0
1315409,"Пиво светлое (пастеризованное) ""Самара Светлое"" в ж/б,Самара",55.0,0.0,0
82,"Пиво светлое (пастеризованное) ""Янтарное"" под товарным знаком ""ЯРПИВО"" ж/б,Ярославль",56.0,0.0,3
28755,"Пиво светлое (пастеризованное) ""Балтика светлое"" №2 в бут,Ярославль",68.0,0.0,6
28756,"Пиво светлое ""Горьковское"" в бут,Ярославль",49.0,0.0,6
2135,"Пиво светлое пастеризованное ""Доктор Дизель светлое"", алк. 4,7% об. Стеклянная бутылка вместимостью ",62.0,0.0,2
9304,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""ХЕЙНЕКЕН"", алк. 4.8 % об. Стеклянная бутылка вместимостью 0.5 л_VG",76.0,0.0,3
2137,"Пиво темное пастеризованное ""Крушовице Черне"", алк. 4.1% об. Стеклянная бутылка вместимостью 0.5 л_V",70.0,0.0,0
1144925,"Пиво светлое пастеризованное ""Три Медведя"". Алк. 4,7% об. ПЭТФ-бутылка вместимостью 1,4 л_РТ",125.0,0.0,3
1215588,"Пиво светлое нефильтрованное пастеризованное ""Пенное пшеничное"". а/б",57.0,0.0,18
24165,"Пиво темное пастеризованное ""Бархатное Фирменное"" в бут, Тула",70.0,0.0,1
1584748,"Пиво светлое пастеризованное «Хейнекен», алк. 4,8% об. Металлическая банка вместимостью 0,45 л_VG",75.0,0.0,1
5742,"Пивной напиток ""Жатецкий Гусь Черный"" (""Zatecky Gus Cerny"") Бут, СПб",70.0,0.0,2
5743,"Пиво светлое ""Немецкий рецепт - нефильтрованное"" нефильтрованное осветленное пастеризованное 0,5 л С",60.0,0.0,0
1649,"Пиво светлое ""ЖИГУЛЕВСКОЕ традиционное"" 1л. Ж/Б",110.0,0.0,1
2162,"Пиво светлое пастеризованное ""Крушовице Светле"", алк. 4.2 % об. Стеклянная бутылка вместимистью 0.5 ",70.0,0.0,1
1312371,"Пиво светлое ""ОХОТА КРЕПКОЕ"". Пастеризованное. Алк. 8,1 % об. Стеклянная бутылка вместимостью 0,45 л",57.0,0.0,6
3191,СИДР фруктовый ароматизированный газированный жемчужный «БЛЕЙЗЕР» («BLAZER») со вкусом яблока-бузины,70.0,0.0,0
4217,"Пиво светлое (пастеризованное) ""Жатецкий Гусь"" (""Zatecky Gus"") в бут,Ярославль",68.0,0.0,3
4218,"Пиво светлое (пастеризованное) ""Жигулевское"" ПЭТ,Ярославль",135.0,0.0,4
4219,"Пиво светлое (пастеризованное) ""Жигулевское"" в ПЭТ,Тула",135.0,0.0,0
4220,"Пиво светлое (непастеризованное) ""Жигулевское Фирменное Живое"" Бут, Тула",66.0,0.0,2
1657474,"Пиво светлое пастеризованное «Окское бочковое», алк. 4,7 % об. Стеклянная бутылка вместимостью 0,45 ",45.0,0.0,26
2221195,Сидр БЛЕЙЗЕР джин-тоник.,70.0,0.0,0
1225752,"Пиво ""Пенное пшеничное"". Стекло",57.0,0.0,11
1467028,"Пиво светлое пастеризованное ""Чебоксарское"". Стекло",53.12,0.0,10
1831062,"Пиво Приятель ""Суперкрепкое""",140.0,0.0,0
26775,Сидр фруктовый ароматизированный газированный жемчужный «МАРТИ РЭЙ» («MARTY RAY») со вкусом вишни».,86.0,0.0,0
26778,Сидр фруктовый ароматизированный газированный жемчужный «МАРТИ РЭЙ» («MARTY RAY») со вкусом тропичес,86.0,0.0,1
11931,"Пиво светлое (пастеризованное) ""Балтика экспортное""№7 в бут,Ярославль",66.0,0.0,9
11932,"Пиво светлое (непастеризованное) ""Жигулевское Фирменное Живое"" ПЭТ,Ярославль",160.0,0.0,0
26782,"Пиво светлое пшеничное ""Амстел"" нефильтрованное осветлённое пастеризованное. алк. 5.1% об. Стеклянна",67.0,0.0,0
1463455,"Пиво светлое «Охота крепкое». Пастеризованное, алк. 8,1 % об. Металлическая банка вместимостью 0.45 ",57.0,0.0,15
1538722,"Пиво светлое «ОКСКОЕ ЖИВОЕ». Непастеризованное, алк. 4,7 % об. Металлическая банка вместимостью 0.45",45.0,0.0,26
1538723,"Пиво светлое пастеризованное «Окское бочковое», алк. 4,7 % об. Металлическая банка вместимостью 0.45",45.0,0.0,56
1706,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""РУСИЧ КРЕПКОЕ"", алк. 7.1 % об. ПЭТФ-бутылка вместимостью 1.4 л_VG",135.0,0.0,5
1217709,"Пиво ""Большая Кружка Светлое"" ПЭТ, Ярославль",105.0,0.0,3
7344,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""АМСТЕЛ ПРЕМИУМ ПИЛСЕНЕР"", алк. 4.8 % об. Стеклянная бутылка вместимост",62.0,0.0,3
1168056,Пиво светлое «Английский Эль»,98.0,0.0,0
8891,"Пиво светлое (пастеризованное) ""Янтарное"" под товарным знаком ""ЯРПИВО"" ПЭТ,Ярославль",143.0,0.0,0
1113276,"Пиво светлое (пастеризованное) ""Балтика крепкое"" №9 в бут,Ярославль",63.0,0.0,0
1174723,"Пиво светлое пшеничное ""Австрийский рецепт - белое"" пастеризованное 0,5 л Стекло",60.0,0.0,1
1112780,"Пиво светлое ""Горьковское"" ПЭТ,Ярославль",119.090909091,0.0,4
5837,"Пиво светлое пастеризованное ""Туборг Грин"" (""Tuborg Green"") ж/б,Ярославль",75.0,0.0,4
1571,"Пиво светлое ""Немецкое""",93.0,0.0,0
1227476,Сидр фруктовый ароматизированный газированный жемчужный «МАРТИ РЭЙ» («MARTY RAY») со вкусом виски и ,86.0,0.0,0
7118038,"Амстел Премиум Пилсенер, бутылка 0.45л_VG",63.0,0.0,2
1239774,"Пиво ""Кер сари светлое"". Стекло",57.0,0.0,12
2273,"Пиво светлое (пастеризованное) ""Балтика экспортное""№7 в ж/б,Самара",120.0,0.0,2
2274,"Пиво светлое (пастеризованное) ""Балтика классическое"" №3 в ж/б,Самара",104.0,0.0,2
238,"Пиво светлое (пастеризованное) ""Балтика классическое"" №3 в ж/б,Тула",104.0,0.0,1
5796466,"""Арсенальное Крепкое"" ПЭТ,Ярославль",125.0,0.0,0
2924793,"""ТРЕХСОСЕНСКОЕ светлое Живое"" 0,5 л. с/б",58.0,0.0,3
1548540,"Пиво светлое пастеризованное «Крушовице светле», алк. 4,2% об. Металлическая банка вместимостью 0,45",70.0,0.0,0
9477,"Пиво светлое ""Охота крепкое"". Пастеризованное, алк. 8.1 % об. ПЭТФ-бутылка вместимостью 1,0 л_HB",103.0,0.0,1
264,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""ОХОТА КРЕПКОЕ"", алк. 8.1 % об. ПЭТФ-бутылка вместимостью 1.4 л_VG",140.0,0.0,5
1836,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""ТРИ МЕДВЕДЯ"", алк. 4.7 % об. ПЭТФ-бутылка вместимостью 1.4 л_VG",121.25,0.0,0
778,"Пиво темное пастеризованное ""Бархатное Фирменное"" в ПЭТ,Тула",170.0,0.0,1
6328587,"«Амстел Премиум» банка 0,45 л_VG",62.1935483871,0.0,6
35599,"Пиво светлое ""Охота крепкое"". Пастеризованное, алк. 8,1% об. ПЭТФ-бутылка вместимостью 1,4 л_PT",140.0,0.0,1
6291217,"""АМСТЕЛ ПРЕМИУМ"" бутылка 0,5 л_VG",62.0,0.0,1
289,"Пиво светлое (пастеризованное) ""Балтика крепкое"" №9 в ж/б,Тула",63.0,0.0,2
1745187,"Пиво светлое «Русич крепкое». Пастеризованное, алк. 7,1% об. Стеклянная бутылка вместимостью 0,45 л_",57.0,0.0,14
1418028,"ПИВО СВЕТЛОЕ НЕПАСТЕРИЗОВАННОЕ ""ШИХАН ЖИВОЕ"", алк. 4.7% об. ПЭТ бутылка вместимостью 1,4 л_SH",125.0,0.0,2
302,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""ОКСКОЕ БОЧКОВОЕ"", алк. 4.7 % об. ПЭТФ-бутылка вместимостью 1.4 л_VG",116.0,0.0,13
1734959,"Пиво светлое «Шихан Гречневое» пастеризованное, алк. 4,7% об. ПЭТФ-бутылка вместимостью 1,4 л_SH",127.0,0.0,3
1215284,"Пиво ""Кер сари светлое"". ПЭТ",140.0,0.0,4
1180992,"Пиво светлое ""Булгарпиво белое пшеничное""",90.0,0.0,0
2245452,"ПИВО ""ОКСКОЕ БОЧКОВОЕ"", ПЭТФ 1.4 л_VG",116.0,0.0,9
1197794,"Пиво ""Балтика"" №7 ж/б,Ярославль",66.0,0.0,14
1876,"Пиво светлое (пастеризованное) ""Балтика классическое"" №3 ж/б,Ярославль",53.0,0.0,5
8535,"Пиво светлое (пастеризованное) ""Янтарное"" под товарным знаком ""ЯРПИВО"" в бут, Тула",56.0,0.0,0
9566,"Пиво светлое фильтрованное пастеризованное ""Жигулевское"". Стекло",48.0,0.0,7
9567,"Пиво светлое фильтрованное пастеризованное ""Жигулевское"". ПЭТ",120.0,0.0,10
9568,"Пиво светлое фильтрованное пастеризованное ""Праздничный Букет Чувашии"". а/б",56.0,0.0,9
9569,"Пиво светлое нефильтрованное пастеризованное ""Пенное пшеничное"". Стекло",57.0,0.0,8
9570,"Пиво светлое фильтрованное пастеризованное ""Праздничный Букет Чувашии"". Стекло",56.0,0.0,7
9571,"Пиво светлое нефильтрованное пастеризованное ""Пенное пшеничное"". ПЭТ",140.0,0.0,17
1107304,"Пиво светлое (пастеризованное) ""Большая Кружка Янтарное"" ПЭТ,Ярославль",115.0,0.0,1
1671535,"Пиво светлое пастеризованное «Три Медведя», алк. 4,7 % об. Металлическая банка вместимостью 0.45 л_V",51.0,0.0,2
1609074,"Пиво светлое, пастеризованное ""Горьковское Охлажденное"" ПЭТ, Ярославль",120.0,0.0,1
24955,"Пиво светлое ""Горьковское"" в ПЭТ,Самара",120.0,0.0,5
1452925,"Пиво ""Праздничный Букет Чувашии"". ПЭТ",136.0,0.0,6
1176446,"Пиво ""Большая Кружка Светлое"" ПЭТ, Тула",105.0,0.0,0
1211265,"Пиво светлое (пастеризованное) ""Крепкое"" под товарным знаком ""ЯРПИВО"" ж/б,Ярославль",68.0,0.0,1
1219476,"Пиво ""Жигулевское"". Стекло",48.0,0.0,9
1219477,"Пиво ""Жигулевское"". ПЭТ",120.0,0.0,7
920,"Пиво светлое (пастеризованное) ""Балтика экспортное""№7 в ж/б,Тула",85.6363636364,0.0,2
2457,"Напиток, изготовленный на основе пива, ""Karmi Sensual"" (""Карми Сеншуал"") с ароматом вишни, пастеризо",81.0,0.0,1
1225631,"Пиво ""Букет Чувашии"". Стекло",62.0,0.0,6
155,"Пиво светлое ""Baltika Neon Beer"" (""Балтика Неон Бир""), пастеризованное в бут, Санкт-Петербург",62.0,0.0,1
16295,"Пиво светлое пастеризованное «Амстел Премиум Пилсенер», алк. 4,8% об. Металлическая банка вместимост",62.0,0.0,4
1407644,"Пиво светлое (пастеризованное) ""Балтика Кулер"" ж/б,Ярославль",67.0,0.0,0
1184170,"Пиво светлое фильтрованное пастеризованное ""Букет Чувашии"". Стекло",62.0,0.0,10
11694,"Напиток ароматизированный, изготовленный на основе пива, ""Karmi Sensual"" (""Карми Сеншуал"") с аромато",83.0,0.0,3
1545137,"Пиво светлое, пастеризованное ""Горьковское Охлажденное"" Бут, Самара",49.0,0.0,2
1496505,"Пиво светлое пастеризованное «Гёссер», алк. 4,7 % об. Металлическая банка вместимостью 0.45 л_VG",55.0,0.0,2
1184710,"Пиво светлое фильтрованное пастеризованное ""Праздничный Букет Чувашии"". ПЭТ",136.0,0.0,6
1184711,"Пиво светлое пастеризованное ""Чебоксарское"". ПЭТ",136.0,0.0,13
1184713,"Пиво темное фильтрованное пастеризованное ""Леди-ночь"". Стекло",60.0,0.0,7
3018,"Пиво светлое ""Горьковское"" Бан, Ярославль",49.0,0.0,3
3021,"Пиво светлое (пастеризованное) ""Карлсберг"" (""Carlsberg"") в бут,Ярославль",56.0,0.0,5
3022,"Пиво светлое (пастеризованное) ""Самара Светлое"" в ПЭТ,Самара",135.0,0.0,4
2339288,гессер ж.б,55.0,0.0,0
29676,"Пиво светлое ""Чешское Живое""",98.0,0.0,0
1268722,"ПИВО СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ ""ШИХАН"", алк. 4.7% об. ПЭТ бутылка вместимостью 1,4 л_SH",125.0,0.0,1
1313363,"Пиво ""Чебоксарское"". ПЭТ",136.0,0.0,12
41460,"Пиво светлое (пастеризованное) ""Балтика классическое"" №3 в бут,Ярославль",53.0,0.0,5
30201,"Пиво светлое (пастеризованное) ""Жатецкий Гусь"" (""Zatecky Gus"") ПЭТ,Ярославль",145.0,0.0,4
30202,"Пиво светлое пастеризованное ""Туборг Грин"" (""Tuborg Green"") в бут,Ярославль",75.0,0.0,3
1547946,"ПИВНОЙ НАПИТОК «СЕДОЙ УРАЛ СВЕТЛОЕ » ПАСТЕРИЗОВАННЫЙ, алк. 5,7 % об. ПЭТФ-бутылка вместимостью 1,4 л",126.0,0.0,2
