bar_code,title,price,cost_price,count
1222657,"ЧИПСЫ И КУКУРУЗНЫЕ ПАЛОЧКИ ""ЧИТОС"" В АССОРТИМЕНТЕ 55 Г",33.0,24.0,0
2043909,"Шоколадный батончик ""Snickers""  c лесным орехом      81 гр",55.75,49.0,0
1843207,СИГАРЕТЫ РТ Блю/Ред,51.0,42.0,0
1255432,"КРЕКЕР ""TUC"" СМЕТАНА И ЛУК 21 ГР (ВЛАДИМИРОВСКАЯ ОБЛАСТЬ)",20.1,17.0,2
47114,КАКАО ЗОЛОТОЙ ЯРЛЫК ПОРОШОК 100ГР. КР.ОКТЯБРЬ,69.6,56.0,1
21847,"КОФЕ ""JACOBS MONARCH"" РАСТВ. 95ГР. С/Б акция",227.0,163.0,0
1351698,СЫР плавленный Дружба 55% 70Г.,10.0,8.0,4
1349651,ПОПКОРН ЗЕРНА ВОЗДУШНОЙ КУКУРУЗЫ 60ГР ХРУСТЕНОК КАРАМЕЛЬ,43.5,33.0,0
20,"Пиво светлое (пастеризованное) ""Балтика классическое"" №3 ж/б,Ростов",96.1923076923,78.0,5
2422805,"2 Пельмени Мириталь ""Иркутские"" 0,5 кг",106.0,81.0,0
1341463,клеящий карандаш,51.75,39.0,0
1341484,простой карандаш,10.0,8.0,0
1341489,ФЛОМАСТЕРЫ 12ЦВ 7790/381059 CENTROPEN,151.0,120.0,0
1656885,"Пиво Чешское светлое 0,5л",54.6,47.0,2
56,"Пиво светлое (пастеризованное) ""Воронежское Жигулевское"" бут,Воронеж",47.3333333333,37.0,1
4154,степлер,100.0,71.0,0
1253436,Тетрадь школьная 12л линейка,5.5,4.0,0
4468807,"виндар клубника пивной напиток 6,9% 1,49 пэт",92.6666666667,75.0,1
1325128,"МОЛОКО ""БЕЛЫЙ ГОРОД"" 1,5 % 1 Л (ПАКЕТ)",58.6428571429,46.0,5
1310795,"АРАХИС ""ЖИКО"" СОЛЕНЫЙ 40ГР .",19.0416666667,14.0,4
1327183,"ВОДА МИНЕРАЛЬНАЯ МАЙСКАЯ ХРУСТАЛЬНАЯ 1,5Л ГАЗ  1/6",31.2570093458,25.0,42
1323088,сырок глаз. Иван Поддубный с ванилью 40г,11.3571428571,9.0,2
1693781,МОРОЖЕНОЕ ЛОЖКА МОРОЖКА 70Г ПЛОМБИР В/СТ ВОРОНЕЖ  1/33,19.0,15.0,2
1325142,"СЛИВКИ ПИТ.""БЕЛЫЙ ГОРОД"" 10% 200 Г (ПАКЕТ)",32.1,25.0,8
90,вода,18.0,15.0,2
1454171,"МОРОЖЕНОЕ "" ""КРЕМ-СМЕТАНКА"" (БОДРАЯ КОРОВА) 100 Г П/СТ",37.0,30.0,0
1747036,Вискас Желе с лососем,26.0,21.0,0
2142,"Пиво Сибирская корона крепкое светлое пастеризованное алюминиевая банка 0,5л",60.0,48.0,0
2145,"Пивной напиток ""Жигулевское"" пастеризованный ПЭТ 1,4",121.5,92.0,0
2146,"ПИВО ""БАД"" СВЕТЛОЕ ПАСТЕРИЗОВАННОЕ АЛЮМИНИЕВАЯ БАНКА 0.5 л",65.6,48.0,2
1243237,BOND STREET COMPACT BLUE HW,77.5,60.0,2
1224809,"СОЛЬ КАМЕННАЯ ПОМОЛ №1 ""АРТЁМСОЛЬ"" К/П 1КГ.",12.1428571429,9.0,25
16490,ЗОЛУШКА СРЕДСТВО ДЛЯ МЫТЬЯ ПОСУДЫ 500МЛ В АССОРТ.,34.125,26.0,1
1611890,ПРИПРАВА ТАЙНИК ВКУСА 15Г ШАШЛЫЧНАЯ  1/40,16.4285714286,14.0,1
1341555,БУЛОЧКА БЕСЕДА 200Г СО СГУЩЕНКОЙ ЗОЛОТОЙ КОЛОС 1/10,24.3333333333,19.0,0
1296502,Сырок творож глаз Вкуснотеево 40г в асс,20.25,16.0,0
4217,"Пиво светлое (пастеризованное) ""Жатецкий Гусь"" (""Zatecky Gus"") в бут,Ярославль",60.6111111111,47.0,3
10362,"ЧАЙ BROOKE BOND 25*1,8ГР В/С",56.0,43.0,0
5812348,ПАРКЕР СИМПСОН КОМПАКТ БЛУ,69.1428571429,57.0,1
20605,Балтика 9,59.1807228916,48.0,16
1302891,Остров Специй Приправа к шашлыку 20 гр,25.6,20.0,1
1437829,"Сахар рафинад 500гр ""Любимый""",45.4,38.0,1
1106062,СЕМЕЧКИ ПОДСОЛНЕЧНИКА БОГУЧАРСКИЕ 240Г   1/12,60.84,49.0,10
3256464,"Сигареты с фильтром ""Bond Street Compact premium mix"" 85",79.0,60.0,2
4241,салфетки влажные,16.5555555556,13.0,1
